experiment_id,run_id,seed,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,total_requests,accepted_requests,rejected_requests,throughput,acceptance_rate,rejection_rate,p95_latency,jain_fairness,limit_overshoot
2,15,2148372924,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9820838876281399,2.0
2,16,2603441061,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9694901506373117,2.0
2,17,3301354103,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9654627279021463,2.0
2,18,900250088,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9735513148708401,2.0
2,19,3391600376,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.940571835419321,2.0
2,20,3992779073,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9673976720881832,2.0
2,21,1650071427,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9682933415631509,2.0
2,22,3223031029,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9397266941220517,2.0
2,23,3901035608,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9799367533380182,2.0
2,24,183083841,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.983623324711968,2.0
2,25,2549556510,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9554663113818044,2.0
2,26,477874497,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9768856542383436,2.0
2,27,2787266630,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9670994837019342,2.0
2,28,78360158,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9576535673407096,2.0
