experiment_id,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,throughput_mean,throughput_std,acceptance_rate_mean,acceptance_rate_std,rejection_rate_mean,rejection_rate_std,p95_latency_mean,p95_latency_std,jain_fairness_mean,jain_fairness_std,limit_overshoot_mean,limit_overshoot_std
88,20,100.0,poisson,sliding_window,distributed,10.0,0.03,True,50,10.0,49.918,0.19767650340897877,0.5016616149961909,0.015780340236876057,0.49833838500380906,0.015780340236876054,0.010000000000000009,0.0,0.963081876776121,0.012060420033691309,0.0,0.0
89,20,100.0,poisson,token_bucket,distributed,1.0,0.01,True,50,10.0,54.816,0.09871170143402354,0.5514034575115271,0.018805685613659088,0.4485965424884729,0.018805685613659095,0.001000000000000334,0.0,0.9658154909481276,0.01054036217472275,93.6,7.321202087089251
90,20,100.0,poisson,token_bucket,distributed,1.0,0.03,True,50,10.0,54.797999999999995,0.11574109036984138,0.5491742870737737,0.016068315109421763,0.4508257129262263,0.016068315109421766,0.001000000000000334,0.0,0.966540794398695,0.010961681492696726,92.28,8.447579534991073
91,20,100.0,poisson,token_bucket,distributed,10.0,0.01,True,50,10.0,54.785999999999994,0.10772186407596072,0.554828047897012,0.017544524013764752,0.445171952102988,0.017544524013764752,0.010000000000000009,0.0,0.9653876548182636,0.01261820083804328,94.04,6.41859797775184
92,20,100.0,poisson,token_bucket,distributed,10.0,0.03,True,50,10.0,54.836000000000006,0.07683749084919365,0.550038317388673,0.018185804967587968,0.44996168261132696,0.018185804967587964,0.010000000000000009,0.0,0.9669515809518481,0.010271582986084622,91.8,8.883692925805125
93,20,100.0,poisson,leaky_bucket,distributed,1.0,0.01,True,50,10.0,54.846,0.06390618123468145,0.548480401135041,0.016678510127972314,0.45151959886495896,0.016678510127972314,0.9802064082183507,0.00013484128992781506,0.9649877511113277,0.011687015086920386,95.08,5.617259118110896
94,20,100.0,poisson,leaky_bucket,distributed,1.0,0.03,True,50,10.0,54.794000000000004,0.09881295461628366,0.549426474455465,0.01654813206696762,0.450573525544535,0.01654813206696762,0.9801239607770093,0.00013141194426256756,0.9664683208304586,0.009040536347092877,93.92,6.311386535461127
95,20,100.0,poisson,leaky_bucket,distributed,10.0,0.01,True,50,10.0,54.843999999999994,0.08284926070883135,0.5480414148391725,0.018000514900281515,0.4519585851608275,0.01800051490028152,0.989167609903037,0.00016278332264679497,0.9673599902056809,0.010278117666922281,93.56,7.697168310489254
96,20,100.0,poisson,leaky_bucket,distributed,10.0,0.03,True,50,10.0,54.84399999999999,0.06681317235395969,0.5506631530028911,0.020238484542785935,0.44933684699710885,0.02023848454278594,0.9891190911526327,0.0001672465870210823,0.9652581985287132,0.009707887738848052,93.84,6.509562197260273
97,20,100.0,ramp,sliding_window,distributed,1.0,0.01,True,50,10.0,44.358000000000004,1.165348016688577,0.7068987664516713,0.023165094467383813,0.29310123354832884,0.023165094467383816,0.001000000000000334,0.0,0.9603869512484752,0.010958596771448644,0.0,0.0
